;EMISSIONS OF AIR POLLUTANTS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Quantities in thousand tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Source;1990;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Other transport;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Other sectors;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Industrial Processes;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;n.o.;n.o.;n.o.;n.o.;n.o.;n.o.;n.o.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Agriculture;5,03;5,76;5,94;5,77;5,64;5,57;5,58;5,84;5,88;5,66;5,65;5,46;5,24;5,19;5,03;4,88;5,03;4,68;4,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Waste;0,13;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,15;0,14;0,14;0,14;0,13;0,13;0,12;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;TOTAL PARTICULATE MATTER (TSP);n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;10,81;9,43;9,17;8,84;7,98;7,08;6,85;7,07;6,96;5,82;5,54;4,77;4,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Energy ;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;3,28;3,16;3,07;3,09;2,50;2,23;2,10;2,13;2,01;1,77;1,63;1,52;1,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Energy industry;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,76;0,76;0,79;0,87;0,88;0,92;0,84;0,86;0,79;0,67;0,60;0,59;0,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Manufacturing industry and construction;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,28;0,28;0,28;0,29;0,31;0,31;0,31;0,31;0,31;0,27;0,25;0,20;0,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Road transport;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2,11;2,00;1,88;1,81;1,21;0,88;0,83;0,83;0,80;0,71;0,69;0,63;0,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Other transport;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,03;0,03;0,03;0,03;0,03;0,03;0,04;0,06;0,05;0,04;0,04;0,04;0,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Other sectors;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,09;0,10;0,09;0,08;0,07;0,08;0,08;0,07;0,07;0,07;0,06;0,06;0,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Industrial Processes;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;6,98;5,71;5,52;5,18;4,96;4,35;4,30;4,50;4,53;3,64;3,51;2,87;2,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Use of Solvents;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Paint Application;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Agriculture ;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,51;0,53;0,55;0,54;0,49;0,48;0,43;0,42;0,39;0,38;0,37;0,35;0,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Waste;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;PARTICULATE MATTER (PM10);n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;5,98;5,61;5,56;5,56;4,94;4,53;4,37;4,49;4,35;3,71;3,54;3,11;2,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Energy ;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2,92;2,82;2,72;2,72;2,14;1,86;1,78;1,81;1,68;1,48;1,38;1,29;1,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Energy industry;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,57;0,57;0,59;0,66;0,66;0,69;0,65;0,67;0,59;0,50;0,45;0,45;0,44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Manufacturing industry and construction;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,23;0,23;0,23;0,23;0,25;0,25;0,25;0,25;0,25;0,22;0,20;0,16;0,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Road transport;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2,02;1,92;1,80;1,74;1,15;0,83;0,78;0,78;0,75;0,66;0,65;0,59;0,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Other transport;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,03;0,03;0,03;0,03;0,03;0,03;0,04;0,06;0,05;0,04;0,04;0,04;0,04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Other sectors;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,07;0,08;0,07;0,07;0,06;0,06;0,06;0,06;0,05;0,06;0,05;0,05;0,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Industrial Processes;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2,53;2,23;2,26;2,27;2,29;2,17;2,15;2,24;2,26;1,83;1,77;1,45;1,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Use of Solvents;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Paint Application;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Agriculture ;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,51;0,53;0,55;0,54;0,49;0,48;0,43;0,42;0,39;0,38;0,37;0,35;0,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Waste;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;PARTICULATE MATTER (PM2,5);n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;3,99;3,81;3,76;3,80;3,24;2,92;2,81;2,88;2,82;2,38;2,26;1,98;1,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Energy ;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2,52;2,43;2,32;2,29;1,70;1,41;1,35;1,37;1,31;1,15;1,07;1,00;0,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Energy industry;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,34;0,34;0,35;0,39;0,40;0,42;0,39;0,40;0,40;0,34;0,30;0,30;0,30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Manufacturing industry and construction;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;0,18;0,18;0,18;0,19;0,19;0,20;0,20;0,20;0,20;0,17;0,16;0,13;0,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Road transport;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1,90;1,80;1,69;1,62;1,03;0,71;0,67;0,66;0,62;0,55;0,53;0,48;0,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
